Date,Day of the Week,Location,Time Group,Vehicle Count,Weather Conditions,Road Type,Congestion Level
1/1/2024,Monday,Uttara Sector 7,Morning Rush (7:30 AM – 10:30 AM),260,Rainy,Highway,Low
1/1/2024,Monday,Uttara Sector 7,Midday (10:30 AM – 2:00 PM),237,Cloudy,Residential Street,High
1/1/2024,Monday,Uttara Sector 7,Afternoon (2:00 PM – 4:30 PM),181,Sunny,Residential Street,High
1/1/2024,Monday,Uttara Sector 7,Evening Rush (4:30 PM – 8:00 PM),145,Rainy,Commercial Street,Medium
1/1/2024,Monday,Uttara Sector 7,Night (8:00 PM – 11:00 PM),412,Sunny,Flyover,Low
1/1/2024,Monday,Uttara Sector 7,Late Night (11:00 PM – 5:00 AM),212,Rainy,Commercial Street,Medium
1/1/2024,Monday,Motijheel,Early Morning (5:00 AM – 7:30 AM),168,Cloudy,Residential Street,High
1/1/2024,Monday,Motijheel,Morning Rush (7:30 AM – 10:30 AM),397,Cloudy,Flyover,High
1/1/2024,Monday,Motijheel,Midday (10:30 AM – 2:00 PM),284,Rainy,Entry Point,Medium
1/1/2024,Monday,Motijheel,Afternoon (2:00 PM – 4:30 PM),408,Cloudy,Entry Point,Medium
1/1/2024,Monday,Motijheel,Evening Rush (4:30 PM – 8:00 PM),325,Cloudy,Entry Point,High
1/1/2024,Monday,Motijheel,Night (8:00 PM – 11:00 PM),263,Cloudy,Arterial Road,High
1/1/2024,Monday,Motijheel,Late Night (11:00 PM – 5:00 AM),164,Rainy,Highway,Medium
1/1/2024,Monday,Shahbagh,Early Morning (5:00 AM – 7:30 AM),225,Cloudy,Arterial Road,Low
1/1/2024,Monday,Shahbagh,Morning Rush (7:30 AM – 10:30 AM),462,Sunny,Entry Point,High
1/1/2024,Monday,Shahbagh,Midday (10:30 AM – 2:00 PM),492,Cloudy,Entry Point,High
1/1/2024,Monday,Shahbagh,Afternoon (2:00 PM – 4:30 PM),210,Sunny,Highway,High
1/1/2024,Monday,Shahbagh,Evening Rush (4:30 PM – 8:00 PM),283,Sunny,Entry Point,High
1/1/2024,Monday,Shahbagh,Night (8:00 PM – 11:00 PM),426,Sunny,Arterial Road,Low
1/1/2024,Monday,Shahbagh,Late Night (11:00 PM – 5:00 AM),396,Cloudy,Residential Street,Medium
1/1/2024,Monday,Mirpur-10,Early Morning (5:00 AM – 7:30 AM),310,Rainy,Commercial Street,Medium
1/1/2024,Monday,Mirpur-10,Morning Rush (7:30 AM – 10:30 AM),158,Sunny,Flyover,High
1/1/2024,Monday,Mirpur-10,Midday (10:30 AM – 2:00 PM),402,Sunny,Highway,High
1/1/2024,Monday,Mirpur-10,Afternoon (2:00 PM – 4:30 PM),304,Sunny,Commercial Street,Medium
1/1/2024,Monday,Mirpur-10,Evening Rush (4:30 PM – 8:00 PM),426,Cloudy,Flyover,High
1/1/2024,Monday,Mirpur-10,Night (8:00 PM – 11:00 PM),442,Sunny,Arterial Road,Low
1/1/2024,Monday,Mirpur-10,Late Night (11:00 PM – 5:00 AM),171,Rainy,Entry Point,High
1/1/2024,Monday,Gabtoli,Early Morning (5:00 AM – 7:30 AM),292,Sunny,Residential Street,Low
1/1/2024,Monday,Gabtoli,Morning Rush (7:30 AM – 10:30 AM),130,Rainy,Highway,Low
1/1/2024,Monday,Gabtoli,Midday (10:30 AM – 2:00 PM),416,Sunny,Residential Street,Low
1/1/2024,Monday,Gabtoli,Afternoon (2:00 PM – 4:30 PM),164,Sunny,Entry Point,High
1/1/2024,Monday,Gabtoli,Evening Rush (4:30 PM – 8:00 PM),229,Rainy,Arterial Road,High
1/1/2024,Monday,Gabtoli,Night (8:00 PM – 11:00 PM),237,Sunny,Residential Street,Low
1/1/2024,Monday,Gabtoli,Late Night (11:00 PM – 5:00 AM),121,Sunny,Flyover,High
1/1/2024,Monday,Rampura,Early Morning (5:00 AM – 7:30 AM),311,Cloudy,Residential Street,Low
1/1/2024,Monday,Rampura,Morning Rush (7:30 AM – 10:30 AM),297,Rainy,Residential Street,Medium
1/1/2024,Monday,Rampura,Midday (10:30 AM – 2:00 PM),497,Cloudy,Residential Street,Medium
1/1/2024,Monday,Rampura,Afternoon (2:00 PM – 4:30 PM),138,Rainy,Highway,Low
1/1/2024,Monday,Rampura,Evening Rush (4:30 PM – 8:00 PM),410,Cloudy,Residential Street,High
1/1/2024,Monday,Rampura,Night (8:00 PM – 11:00 PM),232,Rainy,Flyover,Low
1/1/2024,Monday,Rampura,Late Night (11:00 PM – 5:00 AM),402,Cloudy,Entry Point,Medium
1/1/2024,Monday,Tejgaon,Early Morning (5:00 AM – 7:30 AM),427,Cloudy,Commercial Street,High
1/1/2024,Monday,Tejgaon,Morning Rush (7:30 AM – 10:30 AM),116,Rainy,Commercial Street,Medium
1/1/2024,Monday,Tejgaon,Midday (10:30 AM – 2:00 PM),463,Sunny,Commercial Street,Low
1/1/2024,Monday,Tejgaon,Afternoon (2:00 PM – 4:30 PM),327,Cloudy,Highway,Low
1/1/2024,Monday,Tejgaon,Evening Rush (4:30 PM – 8:00 PM),489,Sunny,Residential Street,Low
1/1/2024,Monday,Tejgaon,Night (8:00 PM – 11:00 PM),432,Cloudy,Flyover,Low
1/1/2024,Monday,Tejgaon,Late Night (11:00 PM – 5:00 AM),275,Sunny,Entry Point,High
1/1/2024,Monday,New Market,Early Morning (5:00 AM – 7:30 AM),494,Sunny,Arterial Road,Medium
1/1/2024,Monday,New Market,Morning Rush (7:30 AM – 10:30 AM),395,Rainy,Flyover,Low
1/1/2024,Monday,New Market,Midday (10:30 AM – 2:00 PM),284,Cloudy,Commercial Street,High
1/1/2024,Monday,New Market,Afternoon (2:00 PM – 4:30 PM),377,Rainy,Arterial Road,Medium
1/1/2024,Monday,New Market,Evening Rush (4:30 PM – 8:00 PM),255,Cloudy,Flyover,Low
1/1/2024,Monday,New Market,Night (8:00 PM – 11:00 PM),392,Cloudy,Commercial Street,Medium
1/1/2024,Monday,New Market,Late Night (11:00 PM – 5:00 AM),278,Cloudy,Arterial Road,High
1/1/2024,Monday,Dhanmondi,Early Morning (5:00 AM – 7:30 AM),302,Cloudy,Flyover,Medium
1/1/2024,Monday,Dhanmondi,Morning Rush (7:30 AM – 10:30 AM),279,Rainy,Arterial Road,High
1/1/2024,Monday,Dhanmondi,Midday (10:30 AM – 2:00 PM),149,Sunny,Highway,High
1/1/2024,Monday,Dhanmondi,Afternoon (2:00 PM – 4:30 PM),268,Rainy,Highway,Low
1/1/2024,Monday,Dhanmondi,Evening Rush (4:30 PM – 8:00 PM),290,Sunny,Arterial Road,Low
1/1/2024,Monday,Dhanmondi,Night (8:00 PM – 11:00 PM),397,Cloudy,Flyover,Low
1/1/2024,Monday,Dhanmondi,Late Night (11:00 PM – 5:00 AM),260,Rainy,Commercial Street,Medium
1/1/2024,Monday,Paltan,Early Morning (5:00 AM – 7:30 AM),135,Rainy,Highway,High
1/1/2024,Monday,Paltan,Morning Rush (7:30 AM – 10:30 AM),314,Sunny,Flyover,Low
1/1/2024,Monday,Paltan,Midday (10:30 AM – 2:00 PM),105,Rainy,Entry Point,Medium
1/1/2024,Monday,Paltan,Afternoon (2:00 PM – 4:30 PM),483,Rainy,Arterial Road,High
1/1/2024,Monday,Paltan,Evening Rush (4:30 PM – 8:00 PM),499,Rainy,Entry Point,Low
1/1/2024,Monday,Paltan,Night (8:00 PM – 11:00 PM),269,Rainy,Entry Point,Medium
1/1/2024,Monday,Paltan,Late Night (11:00 PM – 5:00 AM),488,Cloudy,Residential Street,Medium
1/1/2024,Monday,Malibagh,Early Morning (5:00 AM – 7:30 AM),131,Rainy,Residential Street,Low
1/1/2024,Monday,Malibagh,Morning Rush (7:30 AM – 10:30 AM),378,Cloudy,Entry Point,Low
1/1/2024,Monday,Malibagh,Midday (10:30 AM – 2:00 PM),438,Rainy,Highway,High
1/1/2024,Monday,Malibagh,Afternoon (2:00 PM – 4:30 PM),377,Rainy,Arterial Road,Medium
1/1/2024,Monday,Malibagh,Evening Rush (4:30 PM – 8:00 PM),156,Cloudy,Residential Street,Medium
1/1/2024,Monday,Malibagh,Night (8:00 PM – 11:00 PM),487,Cloudy,Commercial Street,Low
1/1/2024,Monday,Malibagh,Late Night (11:00 PM – 5:00 AM),347,Cloudy,Commercial Street,Medium
1/1/2024,Monday,Keraniganj,Early Morning (5:00 AM – 7:30 AM),104,Cloudy,Residential Street,Low
1/1/2024,Monday,Keraniganj,Morning Rush (7:30 AM – 10:30 AM),402,Rainy,Commercial Street,Medium
1/1/2024,Monday,Keraniganj,Midday (10:30 AM – 2:00 PM),397,Sunny,Entry Point,Medium
1/1/2024,Monday,Keraniganj,Afternoon (2:00 PM – 4:30 PM),446,Sunny,Flyover,High
1/1/2024,Monday,Keraniganj,Evening Rush (4:30 PM – 8:00 PM),313,Cloudy,Residential Street,High
1/1/2024,Monday,Keraniganj,Night (8:00 PM – 11:00 PM),404,Rainy,Entry Point,Medium
1/1/2024,Monday,Keraniganj,Late Night (11:00 PM – 5:00 AM),250,Cloudy,Highway,Medium
1/1/2024,Monday,Tongi,Early Morning (5:00 AM – 7:30 AM),468,Rainy,Commercial Street,Medium
1/1/2024,Monday,Tongi,Morning Rush (7:30 AM – 10:30 AM),421,Sunny,Entry Point,High
1/1/2024,Monday,Tongi,Midday (10:30 AM – 2:00 PM),395,Cloudy,Residential Street,High
1/1/2024,Monday,Tongi,Afternoon (2:00 PM – 4:30 PM),156,Rainy,Entry Point,Low
1/1/2024,Monday,Tongi,Evening Rush (4:30 PM – 8:00 PM),471,Sunny,Highway,Medium
1/1/2024,Monday,Tongi,Night (8:00 PM – 11:00 PM),178,Cloudy,Commercial Street,Low
1/1/2024,Monday,Tongi,Late Night (11:00 PM – 5:00 AM),164,Rainy,Entry Point,High
1/1/2024,Monday,Savar Entry Point,Early Morning (5:00 AM – 7:30 AM),218,Rainy,Flyover,High
1/1/2024,Monday,Savar Entry Point,Morning Rush (7:30 AM – 10:30 AM),180,Sunny,Flyover,Medium
1/1/2024,Monday,Savar Entry Point,Midday (10:30 AM – 2:00 PM),333,Cloudy,Entry Point,Medium
1/1/2024,Monday,Savar Entry Point,Afternoon (2:00 PM – 4:30 PM),140,Rainy,Highway,Medium
1/1/2024,Monday,Savar Entry Point,Evening Rush (4:30 PM – 8:00 PM),212,Sunny,Highway,Medium
1/1/2024,Monday,Savar Entry Point,Night (8:00 PM – 11:00 PM),410,Sunny,Highway,Low
1/1/2024,Monday,Savar Entry Point,Late Night (11:00 PM – 5:00 AM),109,Cloudy,Flyover,Low
1/1/2024,Monday,Ashulia,Early Morning (5:00 AM – 7:30 AM),217,Cloudy,Residential Street,Medium
1/1/2024,Monday,Ashulia,Morning Rush (7:30 AM – 10:30 AM),112,Cloudy,Arterial Road,Low
1/1/2024,Monday,Ashulia,Midday (10:30 AM – 2:00 PM),253,Cloudy,Flyover,Low
1/1/2024,Monday,Ashulia,Afternoon (2:00 PM – 4:30 PM),470,Sunny,Commercial Street,High
1/1/2024,Monday,Ashulia,Evening Rush (4:30 PM – 8:00 PM),418,Cloudy,Entry Point,Low
1/1/2024,Monday,Ashulia,Night (8:00 PM – 11:00 PM),173,Sunny,Residential Street,Medium
1/1/2024,Monday,Ashulia,Late Night (11:00 PM – 5:00 AM),406,Sunny,Commercial Street,Medium
1/1/2024,Monday,Pragati Sarani,Early Morning (5:00 AM – 7:30 AM),273,Sunny,Entry Point,Medium
1/1/2024,Monday,Pragati Sarani,Morning Rush (7:30 AM – 10:30 AM),169,Sunny,Residential Street,Medium
1/1/2024,Monday,Pragati Sarani,Midday (10:30 AM – 2:00 PM),348,Sunny,Entry Point,Low
1/1/2024,Monday,Pragati Sarani,Afternoon (2:00 PM – 4:30 PM),460,Rainy,Flyover,Medium
1/1/2024,Monday,Pragati Sarani,Evening Rush (4:30 PM – 8:00 PM),191,Rainy,Commercial Street,High
1/1/2024,Monday,Pragati Sarani,Night (8:00 PM – 11:00 PM),241,Cloudy,Residential Street,Medium
1/1/2024,Monday,Pragati Sarani,Late Night (11:00 PM – 5:00 AM),327,Sunny,Entry Point,Low
1/2/2024,Tuesday,Farmgate,Early Morning (5:00 AM – 7:30 AM),289,Rainy,Arterial Road,Medium
1/2/2024,Tuesday,Farmgate,Morning Rush (7:30 AM – 10:30 AM),492,Sunny,Flyover,Medium
1/2/2024,Tuesday,Farmgate,Midday (10:30 AM – 2:00 PM),443,Rainy,Commercial Street,Medium
1/2/2024,Tuesday,Farmgate,Afternoon (2:00 PM – 4:30 PM),187,Cloudy,Highway,Medium
1/2/2024,Tuesday,Farmgate,Evening Rush (4:30 PM – 8:00 PM),169,Sunny,Residential Street,Low
1/2/2024,Tuesday,Farmgate,Night (8:00 PM – 11:00 PM),194,Cloudy,Arterial Road,Low
1/2/2024,Tuesday,Farmgate,Late Night (11:00 PM – 5:00 AM),489,Rainy,Arterial Road,High
1/2/2024,Tuesday,Mohakhali,Early Morning (5:00 AM – 7:30 AM),436,Cloudy,Residential Street,Low
1/2/2024,Tuesday,Mohakhali,Morning Rush (7:30 AM – 10:30 AM),393,Rainy,Commercial Street,Medium
1/2/2024,Tuesday,Mohakhali,Midday (10:30 AM – 2:00 PM),420,Rainy,Commercial Street,High
1/2/2024,Tuesday,Mohakhali,Afternoon (2:00 PM – 4:30 PM),314,Rainy,Flyover,High
1/2/2024,Tuesday,Mohakhali,Evening Rush (4:30 PM – 8:00 PM),281,Sunny,Arterial Road,High
1/2/2024,Tuesday,Mohakhali,Night (8:00 PM – 11:00 PM),286,Cloudy,Highway,Low
1/2/2024,Tuesday,Mohakhali,Late Night (11:00 PM – 5:00 AM),466,Rainy,Commercial Street,High
1/2/2024,Tuesday,Gulshan-2,Early Morning (5:00 AM – 7:30 AM),160,Sunny,Entry Point,High
1/2/2024,Tuesday,Gulshan-2,Morning Rush (7:30 AM – 10:30 AM),131,Rainy,Arterial Road,High
1/2/2024,Tuesday,Gulshan-2,Midday (10:30 AM – 2:00 PM),221,Cloudy,Commercial Street,High
1/2/2024,Tuesday,Gulshan-2,Afternoon (2:00 PM – 4:30 PM),135,Cloudy,Arterial Road,Medium
1/2/2024,Tuesday,Gulshan-2,Evening Rush (4:30 PM – 8:00 PM),325,Rainy,Commercial Street,Low
1/2/2024,Tuesday,Gulshan-2,Night (8:00 PM – 11:00 PM),104,Cloudy,Residential Street,Low
1/2/2024,Tuesday,Gulshan-2,Late Night (11:00 PM – 5:00 AM),276,Sunny,Entry Point,High
1/2/2024,Tuesday,Jatrabari,Early Morning (5:00 AM – 7:30 AM),452,Cloudy,Arterial Road,Medium
1/2/2024,Tuesday,Jatrabari,Morning Rush (7:30 AM – 10:30 AM),323,Cloudy,Residential Street,Low
1/2/2024,Tuesday,Jatrabari,Midday (10:30 AM – 2:00 PM),198,Rainy,Entry Point,Medium
1/2/2024,Tuesday,Jatrabari,Afternoon (2:00 PM – 4:30 PM),336,Rainy,Entry Point,High
1/2/2024,Tuesday,Jatrabari,Evening Rush (4:30 PM – 8:00 PM),334,Cloudy,Highway,Medium
1/2/2024,Tuesday,Jatrabari,Night (8:00 PM – 11:00 PM),387,Cloudy,Highway,Low
1/2/2024,Tuesday,Jatrabari,Late Night (11:00 PM – 5:00 AM),189,Sunny,Highway,High
1/2/2024,Tuesday,Uttara Sector 7,Early Morning (5:00 AM – 7:30 AM),182,Cloudy,Arterial Road,Medium
1/2/2024,Tuesday,Uttara Sector 7,Morning Rush (7:30 AM – 10:30 AM),231,Rainy,Entry Point,High
1/2/2024,Tuesday,Uttara Sector 7,Midday (10:30 AM – 2:00 PM),275,Rainy,Flyover,Low
1/2/2024,Tuesday,Uttara Sector 7,Afternoon (2:00 PM – 4:30 PM),205,Rainy,Residential Street,High
1/2/2024,Tuesday,Uttara Sector 7,Evening Rush (4:30 PM – 8:00 PM),234,Sunny,Entry Point,Medium
1/2/2024,Tuesday,Uttara Sector 7,Night (8:00 PM – 11:00 PM),396,Sunny,Entry Point,Medium
1/2/2024,Tuesday,Uttara Sector 7,Late Night (11:00 PM – 5:00 AM),247,Rainy,Highway,Medium
1/2/2024,Tuesday,Motijheel,Early Morning (5:00 AM – 7:30 AM),130,Cloudy,Commercial Street,Low
1/2/2024,Tuesday,Motijheel,Morning Rush (7:30 AM – 10:30 AM),268,Sunny,Flyover,Medium
1/2/2024,Tuesday,Motijheel,Midday (10:30 AM – 2:00 PM),451,Rainy,Residential Street,Low
1/2/2024,Tuesday,Motijheel,Afternoon (2:00 PM – 4:30 PM),121,Sunny,Entry Point,Medium
1/2/2024,Tuesday,Motijheel,Evening Rush (4:30 PM – 8:00 PM),459,Cloudy,Entry Point,Medium
1/2/2024,Tuesday,Motijheel,Night (8:00 PM – 11:00 PM),204,Rainy,Entry Point,Low
1/2/2024,Tuesday,Motijheel,Late Night (11:00 PM – 5:00 AM),134,Cloudy,Entry Point,Low
1/2/2024,Tuesday,Shahbagh,Early Morning (5:00 AM – 7:30 AM),313,Cloudy,Arterial Road,Low
1/2/2024,Tuesday,Shahbagh,Morning Rush (7:30 AM – 10:30 AM),160,Sunny,Entry Point,Low
1/2/2024,Tuesday,Shahbagh,Midday (10:30 AM – 2:00 PM),413,Cloudy,Arterial Road,High
1/2/2024,Tuesday,Shahbagh,Afternoon (2:00 PM – 4:30 PM),141,Sunny,Commercial Street,Low
1/2/2024,Tuesday,Shahbagh,Evening Rush (4:30 PM – 8:00 PM),275,Sunny,Commercial Street,Medium
1/2/2024,Tuesday,Shahbagh,Night (8:00 PM – 11:00 PM),458,Sunny,Residential Street,High
1/2/2024,Tuesday,Shahbagh,Late Night (11:00 PM – 5:00 AM),230,Cloudy,Highway,High
1/2/2024,Tuesday,Mirpur-10,Early Morning (5:00 AM – 7:30 AM),184,Sunny,Arterial Road,Medium
1/2/2024,Tuesday,Mirpur-10,Morning Rush (7:30 AM – 10:30 AM),102,Rainy,Arterial Road,Medium
1/2/2024,Tuesday,Mirpur-10,Midday (10:30 AM – 2:00 PM),303,Sunny,Arterial Road,Low
1/2/2024,Tuesday,Mirpur-10,Afternoon (2:00 PM – 4:30 PM),485,Rainy,Highway,Medium
1/2/2024,Tuesday,Mirpur-10,Evening Rush (4:30 PM – 8:00 PM),127,Cloudy,Entry Point,Low
1/2/2024,Tuesday,Mirpur-10,Night (8:00 PM – 11:00 PM),439,Cloudy,Residential Street,Medium
1/2/2024,Tuesday,Mirpur-10,Late Night (11:00 PM – 5:00 AM),334,Cloudy,Highway,Medium
1/2/2024,Tuesday,Gabtoli,Early Morning (5:00 AM – 7:30 AM),467,Rainy,Arterial Road,Low
1/2/2024,Tuesday,Gabtoli,Morning Rush (7:30 AM – 10:30 AM),202,Rainy,Entry Point,High
1/2/2024,Tuesday,Gabtoli,Midday (10:30 AM – 2:00 PM),485,Rainy,Entry Point,High
1/2/2024,Tuesday,Gabtoli,Afternoon (2:00 PM – 4:30 PM),305,Sunny,Residential Street,Medium
1/2/2024,Tuesday,Gabtoli,Evening Rush (4:30 PM – 8:00 PM),190,Rainy,Highway,Medium
1/2/2024,Tuesday,Gabtoli,Night (8:00 PM – 11:00 PM),415,Sunny,Highway,High
1/2/2024,Tuesday,Gabtoli,Late Night (11:00 PM – 5:00 AM),440,Cloudy,Entry Point,High
1/2/2024,Tuesday,Rampura,Early Morning (5:00 AM – 7:30 AM),399,Sunny,Arterial Road,High
1/2/2024,Tuesday,Rampura,Morning Rush (7:30 AM – 10:30 AM),245,Cloudy,Flyover,High
1/2/2024,Tuesday,Rampura,Midday (10:30 AM – 2:00 PM),361,Sunny,Commercial Street,Medium
1/2/2024,Tuesday,Rampura,Afternoon (2:00 PM – 4:30 PM),454,Cloudy,Flyover,Medium
1/2/2024,Tuesday,Rampura,Evening Rush (4:30 PM – 8:00 PM),358,Rainy,Flyover,High
1/2/2024,Tuesday,Rampura,Night (8:00 PM – 11:00 PM),190,Rainy,Flyover,Low
1/2/2024,Tuesday,Rampura,Late Night (11:00 PM – 5:00 AM),219,Rainy,Arterial Road,High
1/2/2024,Tuesday,Tejgaon,Early Morning (5:00 AM – 7:30 AM),209,Cloudy,Arterial Road,Low
1/2/2024,Tuesday,Tejgaon,Morning Rush (7:30 AM – 10:30 AM),245,Rainy,Flyover,Medium
1/2/2024,Tuesday,Tejgaon,Midday (10:30 AM – 2:00 PM),470,Rainy,Entry Point,Low
1/2/2024,Tuesday,Tejgaon,Afternoon (2:00 PM – 4:30 PM),101,Cloudy,Entry Point,High
1/2/2024,Tuesday,Tejgaon,Evening Rush (4:30 PM – 8:00 PM),138,Cloudy,Residential Street,Low
1/2/2024,Tuesday,Tejgaon,Night (8:00 PM – 11:00 PM),362,Rainy,Commercial Street,Low
1/2/2024,Tuesday,Tejgaon,Late Night (11:00 PM – 5:00 AM),351,Sunny,Entry Point,Low
1/2/2024,Tuesday,New Market,Early Morning (5:00 AM – 7:30 AM),291,Sunny,Highway,Low
1/2/2024,Tuesday,New Market,Morning Rush (7:30 AM – 10:30 AM),129,Rainy,Commercial Street,High
1/2/2024,Tuesday,New Market,Midday (10:30 AM – 2:00 PM),200,Rainy,Residential Street,High
1/2/2024,Tuesday,New Market,Afternoon (2:00 PM – 4:30 PM),424,Cloudy,Highway,Medium
1/2/2024,Tuesday,New Market,Evening Rush (4:30 PM – 8:00 PM),307,Cloudy,Residential Street,Low
1/2/2024,Tuesday,New Market,Night (8:00 PM – 11:00 PM),166,Sunny,Arterial Road,Medium
1/2/2024,Tuesday,New Market,Late Night (11:00 PM – 5:00 AM),102,Sunny,Commercial Street,Medium
1/2/2024,Tuesday,Dhanmondi,Early Morning (5:00 AM – 7:30 AM),405,Rainy,Commercial Street,Low
1/2/2024,Tuesday,Dhanmondi,Morning Rush (7:30 AM – 10:30 AM),485,Rainy,Commercial Street,High
1/2/2024,Tuesday,Dhanmondi,Midday (10:30 AM – 2:00 PM),368,Cloudy,Commercial Street,Medium
1/2/2024,Tuesday,Dhanmondi,Afternoon (2:00 PM – 4:30 PM),338,Sunny,Arterial Road,Medium
1/2/2024,Tuesday,Dhanmondi,Evening Rush (4:30 PM – 8:00 PM),158,Rainy,Flyover,High
1/2/2024,Tuesday,Dhanmondi,Night (8:00 PM – 11:00 PM),290,Rainy,Residential Street,High
1/2/2024,Tuesday,Dhanmondi,Late Night (11:00 PM – 5:00 AM),221,Cloudy,Arterial Road,Low
1/2/2024,Tuesday,Paltan,Early Morning (5:00 AM – 7:30 AM),171,Cloudy,Highway,Medium
1/2/2024,Tuesday,Paltan,Morning Rush (7:30 AM – 10:30 AM),481,Cloudy,Commercial Street,Medium
1/2/2024,Tuesday,Paltan,Midday (10:30 AM – 2:00 PM),477,Cloudy,Arterial Road,Low
1/2/2024,Tuesday,Paltan,Afternoon (2:00 PM – 4:30 PM),150,Cloudy,Residential Street,Medium
1/2/2024,Tuesday,Paltan,Evening Rush (4:30 PM – 8:00 PM),479,Sunny,Residential Street,High
1/2/2024,Tuesday,Paltan,Night (8:00 PM – 11:00 PM),123,Sunny,Highway,Low
1/2/2024,Tuesday,Paltan,Late Night (11:00 PM – 5:00 AM),462,Sunny,Highway,High
1/2/2024,Tuesday,Malibagh,Early Morning (5:00 AM – 7:30 AM),465,Sunny,Arterial Road,Low
1/2/2024,Tuesday,Malibagh,Morning Rush (7:30 AM – 10:30 AM),365,Sunny,Entry Point,Low
1/2/2024,Tuesday,Malibagh,Midday (10:30 AM – 2:00 PM),169,Cloudy,Highway,High
1/2/2024,Tuesday,Malibagh,Afternoon (2:00 PM – 4:30 PM),254,Rainy,Residential Street,Low
1/2/2024,Tuesday,Malibagh,Evening Rush (4:30 PM – 8:00 PM),276,Cloudy,Arterial Road,Low
1/2/2024,Tuesday,Malibagh,Night (8:00 PM – 11:00 PM),135,Cloudy,Entry Point,Medium
1/2/2024,Tuesday,Malibagh,Late Night (11:00 PM – 5:00 AM),302,Sunny,Flyover,Medium
1/2/2024,Tuesday,Keraniganj,Early Morning (5:00 AM – 7:30 AM),164,Sunny,Entry Point,Low
1/2/2024,Tuesday,Keraniganj,Morning Rush (7:30 AM – 10:30 AM),130,Rainy,Entry Point,Low
1/2/2024,Tuesday,Keraniganj,Midday (10:30 AM – 2:00 PM),219,Cloudy,Commercial Street,High
1/2/2024,Tuesday,Keraniganj,Afternoon (2:00 PM – 4:30 PM),409,Sunny,Residential Street,Medium
1/2/2024,Tuesday,Keraniganj,Evening Rush (4:30 PM – 8:00 PM),421,Cloudy,Residential Street,Medium
1/2/2024,Tuesday,Keraniganj,Night (8:00 PM – 11:00 PM),157,Cloudy,Commercial Street,Low
